job_role,skills
Data Scientist,"Python, SQL, Machine Learning, Data Analysis, Statistics, Pandas, NumPy, Scikit-learn"
DevOps Engineer,"AWS, Docker, Kubernetes, CI/CD, Linux, Git, Terraform, Bash"
Backend Developer,"Java, Python, SQL, APIs, REST, Spring Boot, Microservices, Git"
Cloud Architect,"Cloud Computing, AWS, Azure, Automation, Terraform, Networking, Security, DevOps"
Frontend Developer,"JavaScript, React, HTML, CSS, TypeScript, Git, REST APIs, UI/UX"
Machine Learning Engineer,"Python, Machine Learning, TensorFlow, PyTorch, Data Pipelines, SQL, Statistics, MLOps"
Systems Administrator,"Linux, Bash, Automation, Networking, Security, Monitoring, Python, Virtualization"
Database Administrator,"SQL, MySQL, MongoDB, PostgreSQL, Query Optimization, Backup, Data Modeling, Performance Tuning"
Full Stack Developer,"JavaScript, React, Node.js, SQL, REST APIs, Git, Docker, Python"
Cybersecurity Analyst,"Networking, Security, Python, Linux, Penetration Testing, SIEM, Firewalls, Incident Response"
Cloud Engineer,"AWS, Azure, Google Cloud, Terraform, Automation, Docker, Kubernetes, Networking"
Data Engineer,"Python, SQL, Apache Spark, ETL, Data Pipelines, Kafka, Hadoop, Cloud Computing"
AI Engineer,"Python, Machine Learning, Deep Learning, NLP, TensorFlow, PyTorch, MLOps, Data Analysis"
Site Reliability Engineer,"Linux, Python, Kubernetes, Docker, CI/CD, Monitoring, Automation, AWS"
Network Engineer,"Networking, Cisco, Routing, Switching, Firewalls, Linux, Security, VPN"
Software Engineer,"Java, Python, Data Structures, Algorithms, Git, REST APIs, SQL, System Design"
Business Intelligence Analyst,"SQL, Data Analysis, Power BI, Tableau, Excel, Python, Reporting, ETL"
Embedded Systems Engineer,"C, C++, Linux, Microcontrollers, RTOS, Hardware Interfaces, Debugging, Automation"
Blockchain Developer,"Solidity, Ethereum, Web3.js, Smart Contracts, Python, Cryptography, Node.js, SQL"
Platform Engineer,"Kubernetes, Docker, CI/CD, Terraform, Cloud Computing, Python, Automation, Linux"
